contador,fecha,hora,temperatura_ambiente,temperatura_lata
257,20-6-2019,15:37:59,41.06,37.00
258,20-6-2019,15:38:1,41.06,36.94
259,20-6-2019,15:38:3,41.54,37.00
260,20-6-2019,15:38:4,41.54,37.00
261,20-6-2019,15:38:6,41.54,37.00
262,20-6-2019,15:38:8,41.54,37.00
263,20-6-2019,15:38:10,41.54,37.00
264,20-6-2019,15:38:12,41.54,37.00
265,20-6-2019,15:38:13,41.54,37.00
266,20-6-2019,15:38:15,41.54,37.00
267,20-6-2019,15:38:17,41.54,37.00
268,20-6-2019,15:38:19,41.54,37.00
269,20-6-2019,15:38:21,41.54,37.06
270,20-6-2019,15:38:22,41.06,37.06
271,20-6-2019,15:38:24,40.57,37.06
272,20-6-2019,15:38:26,40.57,37.06
273,20-6-2019,15:38:28,40.08,37.06
274,20-6-2019,15:38:30,39.10,37.06
275,20-6-2019,15:38:31,39.59,37.06
276,20-6-2019,15:38:33,39.59,37.06
277,20-6-2019,15:38:35,39.59,37.06
278,20-6-2019,15:38:37,39.59,37.06
279,20-6-2019,15:38:39,39.59,37.06
280,20-6-2019,15:38:40,40.08,37.13
281,20-6-2019,15:38:42,40.08,37.13
282,20-6-2019,15:38:44,40.08,37.13
283,20-6-2019,15:38:46,40.57,37.13
284,20-6-2019,15:38:48,40.57,37.13
285,20-6-2019,15:38:49,40.57,37.13
286,20-6-2019,15:38:51,40.57,37.13
287,20-6-2019,15:38:53,41.06,37.13
288,20-6-2019,15:38:55,41.06,37.13
289,20-6-2019,15:38:57,40.57,37.13
290,20-6-2019,15:38:58,41.06,37.19
291,20-6-2019,15:39:0,40.57,37.19
292,20-6-2019,15:39:2,41.06,37.19
293,20-6-2019,15:39:4,41.06,37.19
294,20-6-2019,15:39:6,41.06,37.19
295,20-6-2019,15:39:8,40.57,37.19
296,20-6-2019,15:39:9,40.57,37.19
297,20-6-2019,15:39:11,40.57,37.19
298,20-6-2019,15:39:13,40.57,37.19
299,20-6-2019,15:39:15,40.08,37.19
300,20-6-2019,15:39:17,40.08,37.25
301,20-6-2019,15:39:18,40.08,37.25
302,20-6-2019,15:39:20,40.08,37.25
303,20-6-2019,15:39:22,39.59,37.25
304,20-6-2019,15:39:24,40.08,37.25
305,20-6-2019,15:39:26,40.08,37.25
306,20-6-2019,15:39:27,40.08,37.25
307,20-6-2019,15:39:29,39.59,37.25
308,20-6-2019,15:39:31,40.08,37.25
309,20-6-2019,15:39:33,40.08,37.25
310,20-6-2019,15:39:35,40.08,37.25
311,20-6-2019,15:39:36,40.57,37.31
312,20-6-2019,15:39:38,40.57,37.31
313,20-6-2019,15:39:40,40.08,37.31
314,20-6-2019,15:39:42,40.08,37.31
315,20-6-2019,15:39:44,40.57,37.31
316,20-6-2019,15:39:45,40.57,37.31
317,20-6-2019,15:39:47,40.57,37.31
318,20-6-2019,15:39:49,40.57,37.31
319,20-6-2019,15:39:51,40.57,37.38
320,20-6-2019,15:39:53,41.06,37.38
321,20-6-2019,15:39:54,40.57,37.38
322,20-6-2019,15:39:56,40.57,37.38
323,20-6-2019,15:39:58,41.06,37.38
324,20-6-2019,15:40:0,40.57,37.38
325,20-6-2019,15:40:2,40.57,37.38
326,20-6-2019,15:40:3,41.06,37.38
327,20-6-2019,15:40:5,41.06,37.38
328,20-6-2019,15:40:7,41.06,37.38
329,20-6-2019,15:40:9,41.06,37.44
330,20-6-2019,15:40:11,41.06,37.44
331,20-6-2019,15:40:12,41.06,37.44
332,20-6-2019,15:40:14,41.06,37.44
333,20-6-2019,15:40:16,41.06,37.44
334,20-6-2019,15:40:18,41.06,37.44
335,20-6-2019,15:40:20,41.06,37.44
336,20-6-2019,15:40:22,41.06,37.44
337,20-6-2019,15:40:23,41.06,37.44
338,20-6-2019,15:40:25,41.06,37.44
339,20-6-2019,15:40:27,41.06,37.44
340,20-6-2019,15:40:29,40.57,37.44
341,20-6-2019,15:40:31,41.06,37.44
342,20-6-2019,15:40:32,40.57,37.44
343,20-6-2019,15:40:34,40.57,37.50
344,20-6-2019,15:40:36,40.57,37.50
345,20-6-2019,15:40:38,40.57,37.50
346,20-6-2019,15:40:40,40.57,37.50
347,20-6-2019,15:40:41,40.57,37.50
348,20-6-2019,15:40:43,40.57,37.50
349,20-6-2019,15:40:45,40.57,37.50
350,20-6-2019,15:40:47,40.08,37.50
351,20-6-2019,15:40:49,40.08,37.50
352,20-6-2019,15:40:50,40.08,37.50
353,20-6-2019,15:40:52,40.08,37.56
354,20-6-2019,15:40:54,40.08,37.56
355,20-6-2019,15:40:56,40.08,37.56
356,20-6-2019,15:40:58,40.08,37.56
357,20-6-2019,15:40:59,40.08,37.56
358,20-6-2019,15:41:1,40.08,37.56
359,20-6-2019,15:41:3,40.08,37.56
360,20-6-2019,15:41:5,40.08,37.56
361,20-6-2019,15:41:7,40.08,37.56
362,20-6-2019,15:41:8,39.59,37.56
363,20-6-2019,15:41:10,39.59,37.56
364,20-6-2019,15:41:12,39.59,37.56
365,20-6-2019,15:41:14,39.59,37.56
366,20-6-2019,15:41:16,39.10,37.63
367,20-6-2019,15:41:17,39.10,37.63
368,20-6-2019,15:41:19,39.10,37.63
369,20-6-2019,15:41:21,39.10,37.63
370,20-6-2019,15:41:23,39.10,37.63
371,20-6-2019,15:41:25,39.10,37.63
372,20-6-2019,15:41:27,39.10,37.69
373,20-6-2019,15:41:28,39.10,37.69
374,20-6-2019,15:41:30,39.10,37.63
375,20-6-2019,15:41:32,39.10,37.69
376,20-6-2019,15:41:34,39.10,37.69
377,20-6-2019,15:41:36,39.10,37.69
378,20-6-2019,15:41:37,39.10,37.69
379,20-6-2019,15:41:39,39.10,37.69
380,20-6-2019,15:41:41,38.61,37.69
381,20-6-2019,15:41:43,38.61,37.69
382,20-6-2019,15:41:45,38.61,37.69
383,20-6-2019,15:41:46,38.61,37.69
384,20-6-2019,15:41:48,38.61,37.75
385,20-6-2019,15:41:50,38.61,37.75
386,20-6-2019,15:41:52,38.61,37.75
387,20-6-2019,15:41:54,38.61,37.75
388,20-6-2019,15:41:55,38.61,37.75
389,20-6-2019,15:41:57,38.61,37.75
390,20-6-2019,15:41:59,38.61,37.75
391,20-6-2019,15:42:1,38.61,37.75
392,20-6-2019,15:42:3,38.61,37.81
393,20-6-2019,15:42:4,38.61,37.75
394,20-6-2019,15:42:6,38.61,37.75
395,20-6-2019,15:42:8,38.61,37.81
396,20-6-2019,15:42:10,38.61,37.81
397,20-6-2019,15:42:12,38.61,37.81
398,20-6-2019,15:42:13,38.61,37.81
399,20-6-2019,15:42:15,38.61,37.81
400,20-6-2019,15:42:17,38.61,37.81
401,20-6-2019,15:42:19,38.61,37.81
402,20-6-2019,15:42:21,38.61,37.81
403,20-6-2019,15:42:22,38.61,37.81
404,20-6-2019,15:42:24,38.61,37.81
405,20-6-2019,15:42:26,38.61,37.81
406,20-6-2019,15:42:28,38.61,37.81
407,20-6-2019,15:42:30,38.61,37.81
408,20-6-2019,15:42:32,38.61,37.88
409,20-6-2019,15:42:33,38.12,37.88
410,20-6-2019,15:42:35,38.61,37.88
411,20-6-2019,15:42:37,38.12,37.81
412,20-6-2019,15:42:39,38.12,37.88
413,20-6-2019,15:42:41,38.61,37.88
414,20-6-2019,15:42:42,38.12,37.88
415,20-6-2019,15:42:44,38.12,37.88
416,20-6-2019,15:42:46,38.12,37.88
417,20-6-2019,15:42:48,38.61,37.88
418,20-6-2019,15:42:50,38.12,37.94
419,20-6-2019,15:42:51,38.12,37.94
420,20-6-2019,15:42:53,38.12,37.94
421,20-6-2019,15:42:55,38.12,37.94
422,20-6-2019,15:42:57,38.12,37.94
423,20-6-2019,15:42:59,38.61,37.94
424,20-6-2019,15:43:0,38.61,37.94
425,20-6-2019,15:43:2,38.61,37.94
426,20-6-2019,15:43:4,38.61,37.94
427,20-6-2019,15:43:6,38.61,37.94
428,20-6-2019,15:43:8,38.61,37.94
429,20-6-2019,15:43:9,38.61,37.94
430,20-6-2019,15:43:11,38.61,37.94
431,20-6-2019,15:43:13,38.61,37.94
432,20-6-2019,15:43:15,38.12,37.94
433,20-6-2019,15:43:17,38.61,37.94
434,20-6-2019,15:43:18,38.12,38.00
435,20-6-2019,15:43:20,38.61,38.00
436,20-6-2019,15:43:22,38.12,38.00
437,20-6-2019,15:43:24,38.61,38.00
438,20-6-2019,15:43:26,38.61,38.00
439,20-6-2019,15:43:27,38.12,38.00
440,20-6-2019,15:43:29,38.12,38.00
441,20-6-2019,15:43:31,38.61,38.00
442,20-6-2019,15:43:33,38.12,38.00
443,20-6-2019,15:43:35,38.61,38.06
444,20-6-2019,15:43:36,38.61,38.06
445,20-6-2019,15:43:38,38.12,38.06
446,20-6-2019,15:43:40,38.61,38.06
447,20-6-2019,15:43:42,38.61,38.06
448,20-6-2019,15:43:44,38.61,38.06
449,20-6-2019,15:43:46,38.61,38.06
450,20-6-2019,15:43:47,38.61,38.06
451,20-6-2019,15:43:49,39.10,38.06
452,20-6-2019,15:43:51,39.10,38.13
453,20-6-2019,15:43:53,38.61,38.13
454,20-6-2019,15:43:55,39.10,38.13
455,20-6-2019,15:43:56,38.61,38.13
456,20-6-2019,15:43:58,39.10,38.13
457,20-6-2019,15:44:0,39.10,38.13
458,20-6-2019,15:44:2,39.10,38.13
459,20-6-2019,15:44:4,39.10,38.13
460,20-6-2019,15:44:5,38.61,38.13
461,20-6-2019,15:44:7,39.10,38.13
462,20-6-2019,15:44:9,38.61,38.13
463,20-6-2019,15:44:11,38.61,38.13
464,20-6-2019,15:44:13,38.61,38.13
465,20-6-2019,15:44:14,38.61,38.13
466,20-6-2019,15:44:16,38.61,38.13
467,20-6-2019,15:44:18,38.61,38.19
468,20-6-2019,15:44:20,38.61,38.19
469,20-6-2019,15:44:22,38.61,38.19
470,20-6-2019,15:44:23,38.61,38.19
471,20-6-2019,15:44:25,38.61,38.19
472,20-6-2019,15:44:27,38.61,38.19
473,20-6-2019,15:44:29,38.61,38.19
474,20-6-2019,15:44:31,38.61,38.19
475,20-6-2019,15:44:32,38.61,38.19
476,20-6-2019,15:44:34,38.12,38.19
477,20-6-2019,15:44:36,38.12,38.19
478,20-6-2019,15:44:38,38.61,38.25
479,20-6-2019,15:44:40,38.12,38.25
480,20-6-2019,15:44:41,38.12,38.25
481,20-6-2019,15:44:43,38.12,38.25
482,20-6-2019,15:44:45,38.61,38.25
483,20-6-2019,15:44:47,38.61,38.25
484,20-6-2019,15:44:49,38.12,38.25
485,20-6-2019,15:44:51,38.12,38.25
