contador,fecha,hora,temperatura
459,20-6-2019,15:44:4,38
460,20-6-2019,15:44:5,38
461,20-6-2019,15:44:7,38
462,20-6-2019,15:44:9,38.06
463,20-6-2019,15:44:11,38.06
464,20-6-2019,15:44:13,38.06
465,20-6-2019,15:44:14,38.06
466,20-6-2019,15:44:16,38.06
467,20-6-2019,15:44:18,38.06
468,20-6-2019,15:44:20,38.06
469,20-6-2019,15:44:22,38.06
470,20-6-2019,15:44:23,38.06
471,20-6-2019,15:44:25,38.06
472,20-6-2019,15:44:27,38.06
473,20-6-2019,15:44:29,38.13
474,20-6-2019,15:44:31,38.06
475,20-6-2019,15:44:32,38.13
476,20-6-2019,15:44:34,38.13
477,20-6-2019,15:44:36,38.13
478,20-6-2019,15:44:38,38.06
479,20-6-2019,15:44:40,38.13
480,20-6-2019,15:44:41,38.13
481,20-6-2019,15:44:43,38.13
482,20-6-2019,15:44:45,38.13
483,20-6-2019,15:44:47,38.13
484,20-6-2019,15:44:49,38.13
485,20-6-2019,15:44:51,38.13
486,20-6-2019,15:44:52,38.13
487,20-6-2019,15:44:54,38.13
488,20-6-2019,15:44:56,38.13
489,20-6-2019,15:44:58,38.13
490,20-6-2019,15:45:0,38.13
491,20-6-2019,15:45:1,38.13
492,20-6-2019,15:45:3,38.13
493,20-6-2019,15:45:5,38.13
494,20-6-2019,15:45:7,38.13
495,20-6-2019,15:45:9,38.13
496,20-6-2019,15:45:10,38.13
497,20-6-2019,15:45:12,38.13
498,20-6-2019,15:45:14,38.13
499,20-6-2019,15:45:16,38.13
500,20-6-2019,15:45:18,38.13
501,20-6-2019,15:45:19,38.13
502,20-6-2019,15:45:21,38.13
503,20-6-2019,15:45:23,38.13
504,20-6-2019,15:45:25,38.13
505,20-6-2019,15:45:27,38.13
506,20-6-2019,15:45:28,38.13
507,20-6-2019,15:45:30,38.13
508,20-6-2019,15:45:32,38.13
509,20-6-2019,15:45:34,38.13
510,20-6-2019,15:45:36,38.13
511,20-6-2019,15:45:37,38.13
512,20-6-2019,15:45:39,38.13
513,20-6-2019,15:45:41,38.13
514,20-6-2019,15:45:43,38.13
515,20-6-2019,15:45:45,38.13
516,20-6-2019,15:45:47,38.13
517,20-6-2019,15:45:48,38.13
518,20-6-2019,15:45:50,38.13
519,20-6-2019,15:45:52,38.13
520,20-6-2019,15:45:54,38.13
521,20-6-2019,15:45:56,38.13
522,20-6-2019,15:45:57,38.13
523,20-6-2019,15:45:59,38.13
524,20-6-2019,15:46:1,38.06
525,20-6-2019,15:46:3,38.13
526,20-6-2019,15:46:5,38.06
527,20-6-2019,15:46:6,38.06
528,20-6-2019,15:46:8,38.06
529,20-6-2019,15:46:10,38.06
530,20-6-2019,15:46:12,38.13
531,20-6-2019,15:46:14,38.13
532,20-6-2019,15:46:15,38.06
533,20-6-2019,15:46:17,38.06
534,20-6-2019,15:46:19,38.06
535,20-6-2019,15:46:21,38.06
536,20-6-2019,15:46:23,38.06
537,20-6-2019,15:46:24,38.06
538,20-6-2019,15:46:26,38.06
539,20-6-2019,15:46:28,38.06
540,20-6-2019,15:46:30,38.06
541,20-6-2019,15:46:32,38.06
542,20-6-2019,15:46:33,38.06
543,20-6-2019,15:46:35,38.06
544,20-6-2019,15:46:37,38.06
545,20-6-2019,15:46:39,38.06
546,20-6-2019,15:46:41,38.06
547,20-6-2019,15:46:42,38.06
548,20-6-2019,15:46:44,38.06
549,20-6-2019,15:46:46,38.06
550,20-6-2019,15:46:48,38.06
551,20-6-2019,15:46:50,38.06
552,20-6-2019,15:46:51,38.06
553,20-6-2019,15:46:53,38.06
554,20-6-2019,15:46:55,38.06
555,20-6-2019,15:46:57,38.06
556,20-6-2019,15:46:59,38.06
557,20-6-2019,15:47:1,38.06
558,20-6-2019,15:47:2,38.06
559,20-6-2019,15:47:4,38.06
560,20-6-2019,15:47:6,38.06
561,20-6-2019,15:47:8,38.06
562,20-6-2019,15:47:10,38.06
563,20-6-2019,15:47:11,38.06
564,20-6-2019,15:47:13,38.06
565,20-6-2019,15:47:15,38.06
566,20-6-2019,15:47:17,38.06
567,20-6-2019,15:47:19,38.13
568,20-6-2019,15:47:20,38.06
569,20-6-2019,15:47:22,38.13
570,20-6-2019,15:47:24,38.13
571,20-6-2019,15:47:26,38.13
572,20-6-2019,15:47:28,38.06
573,20-6-2019,15:47:29,38.13
574,20-6-2019,15:47:31,38.13
575,20-6-2019,15:47:33,38.13
576,20-6-2019,15:47:35,38.13
577,20-6-2019,15:47:37,38.13
578,20-6-2019,15:47:38,38.13
579,20-6-2019,15:47:40,38.13
580,20-6-2019,15:47:42,38.13
581,20-6-2019,15:47:44,38.13
582,20-6-2019,15:47:46,38.13
583,20-6-2019,15:47:47,38.13
584,20-6-2019,15:47:49,38.13
585,20-6-2019,15:47:51,38.13
586,20-6-2019,15:47:53,38.13
587,20-6-2019,15:47:55,38.13
588,20-6-2019,15:47:56,38.19
589,20-6-2019,15:47:58,38.13
590,20-6-2019,15:48:0,38.13
591,20-6-2019,15:48:2,38.13
592,20-6-2019,15:48:4,38.19
593,20-6-2019,15:48:6,38.13
594,20-6-2019,15:48:7,38.13
595,20-6-2019,15:48:9,38.19
596,20-6-2019,15:48:11,38.19
597,20-6-2019,15:48:13,38.19
598,20-6-2019,15:48:15,38.19
599,20-6-2019,15:48:16,38.19
600,20-6-2019,15:48:18,38.19
601,20-6-2019,15:48:20,38.19
602,20-6-2019,15:48:22,38.19
603,20-6-2019,15:48:24,38.19
604,20-6-2019,15:48:25,38.19
605,20-6-2019,15:48:27,38.19
606,20-6-2019,15:48:29,38.19
607,20-6-2019,15:48:31,38.19
608,20-6-2019,15:48:33,38.19
609,20-6-2019,15:48:34,38.19
610,20-6-2019,15:48:36,38.19
611,20-6-2019,15:48:38,38.19
612,20-6-2019,15:48:40,38.19
613,20-6-2019,15:48:42,38.19
614,20-6-2019,15:48:43,38.19
